Respondent,Hobby,OpenSource,Student,Employment,FormalEducation,UndergradMajor,CompanySize,YearsCoding,YearsCodingProf,JobSatisfaction,ConvertedSalary,NumberMonitors,CheckInCode,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Age
1,Yes,Yes,No,Employed full-time,Nd,Cd,8,4,1,1,120000,2,5,6,4,0,1,0,2
2,Yes,Yes,No,Employed full-time,Nd,Ar,4,11,8,2,250000,1,5,5,3,0,1,0,4
3,Yes,No,No,Employed full-time,Bd,,5,9,9,3,,3,5,3,2,2,,3,5
4,Yes,No,No,Employed full-time,Nd,,2,7,7,-1,75000,3,5,4,2,0,3,0,5
5,No,No,No,Employed full-time,Bd,Ss,4,2,1,2,9.00E+05,2,3,4,2,1,1,0,3
6,Yes,No,No,Employed full-time,Bd,We,5,3,1,-3,44000,2,1,2,2,1,0,3,2
7,No,No,No,Employed full-time,Bd,Cd,6,2,2,-2,60000,2,3,5,3,0,1,0,3
8,Yes,Yes,No,Employed full-time,Bd,Cd,3,5,3,2,80000,2,5,4,2,1,3,3,3
9,Yes,Yes,No,Employed full-time,Bd,Ae,7,4,3,3,74000,1,5,4,3,0,0,0,3
10,Yes,Yes,No,Employed full-time,Md,Cd,3,6,4,1,115000,2,5,3,3,1,0,2,3
11,Yes,No,No,Employed full-time,Md,,3,2,2,-3,70000,1,2,1,1,2,0,2,4
12,Yes,Yes,No,Employed full-time,Ad,Cd,4,6,2,2,90000,2,3,0,3,0,0,3,3
13,Yes,Yes,No,Employed full-time,Bd,Cd,3,7,7,2,115000,3,5,3,3,0,0,1,4
14,Yes,Yes,No,Employed full-time,Md,Cd,8,5,3,2,120000,2,5,2,3,3,2,3,3
15,Yes,Yes,No,Employed full-time,Bd,Hu,1,1,1,2,36000,2,5,4,3,1,0,1,3
16,Yes,No,No,Employed full-time,Bd,Cd,4,4,2,0,78000,2,5,,,,,,
17,Yes,Yes,"Yes, full-time",Employed full-time,Nd,Cd,3,3,1,0,120000,1,3,6,3,2,3,2,2
18,Yes,Yes,No,Employed full-time,Bd,Ss,3,3,3,2,141625,1,5,3,2,2,0,3,3
19,Yes,Yes,No,Employed full-time,Bd,Cd,2,4,3,3,120000,2,5,4,3,1,0,1,3
20,Yes,Yes,No,Employed full-time,Bd,Cd,5,8,7,2,110000,3,5,4,3,2,1,3,3
21,Yes,No,No,Employed full-time,Bd,Ss,6,4,2,2,70000,3,,3,3,1,2,0,3
22,No,No,No,Employed full-time,Bd,Cd,5,3,2,3,105000,3,4,3,3,2,0,3,3
23,Yes,Yes,No,Employed full-time,Ad,Cd,1,3,2,3,105000,2,5,6,3,0,1,1,3
24,Yes,No,No,Employed full-time,Bd,Bu,6,6,6,2,120000,2,5,2,4,1,1,0,5
25,Yes,Yes,No,Employed full-time,Ad,In,3,1,1,3,77000,1,5,2,2,0,1,0,2
26,Yes,No,No,Employed full-time,Nd,Cd,3,4,3,2,97000,3,5,6,3,0,0,1,3
27,Yes,No,No,Employed full-time,Md,Ae,3,3,2,3,125000,1,5,3,2,0,0,0,3
28,Yes,Yes,No,Employed full-time,Bd,Cd,4,7,6,2,1080000,2,5,3,2,1,0,2,4
29,No,No,No,Employed full-time,Ad,Cd,5,11,11,3,1.00E+05,2,,1,3,1,0,0,6
30,Yes,No,No,Employed full-time,Md,,7,3,1,3,60000,2,2,4,2,2,0,2,4
31,Yes,No,No,Employed full-time,Bd,Ma,6,4,4,2,1140000,3,5,3,2,0,1,1,4
32,Yes,Yes,"Yes, full-time",Employed full-time,Bd,In,8,6,4,-1,81000,2,5,4,3,1,0,0,3
33,Yes,No,No,Employed full-time,Bd,Ss,5,2,2,-2,65000,3,3,4,3,0,1,0,3
34,Yes,No,No,Employed full-time,Bd,Cd,3,3,2,2,60000,2,5,5,3,2,1,2,2
35,Yes,Yes,No,Employed full-time,Bd,Ns,5,2,2,2,105000,1,4,2,3,0,0,1,3
36,No,No,No,Employed full-time,Md,Cd,8,3,2,3,1.00E+05,2,5,3,2,1,0,2,3
37,Yes,No,"Yes, full-time",Employed part-time,Nd,Ae,4,2,1,2,2.00E+06,1,3,4,2,1,0,2,2
38,Yes,Yes,No,Employed full-time,Md,In,8,4,3,-2,140000,1,5,4,3,1,0,0,3
39,Yes,No,No,Employed full-time,Bd,Cd,6,3,2,-3,59500,3,5,3,3,1,0,0,3
40,No,No,No,Employed full-time,Bd,Ae,3,2,1,3,72500,3,5,5,2,1,0,1,3
41,Yes,No,No,Employed full-time,Bd,Ar,4,5,4,2,75000,2,5,,,,1,0,
42,Yes,No,No,Employed full-time,Md,Cd,4,11,8,-1,70000,3,3,1,2,2,2,2,6
43,Yes,Yes,No,Employed full-time,Bd,In,4,8,7,-2,185000,2,3,4,3,2,0,2,4
44,Yes,Yes,No,Employed full-time,Md,Ss,3,2,2,-1,125000,1,5,6,3,1,0,1,3
45,Yes,Yes,No,Employed full-time,Bd,Cd,1,4,2,2,25000,2,3,4,3,0,0,0,3
46,No,No,No,Employed full-time,Bd,Ns,3,1,1,1,32000,1,,5,2,1,1,1,2
47,No,No,No,Employed full-time,Bd,Cd,8,4,2,3,,1,5,5,3,1,0,1,3
48,Yes,No,No,Employed full-time,Md,Cd,6,6,5,2,235000,3,3,1,2,2,0,3,4
49,Yes,Yes,No,Employed full-time,Bd,Cd,6,4,2,2,125000,1,5,4,3,2,0,1,3
50,Yes,Yes,No,Employed full-time,Nd,Cd,6,6,5,-1,155000,3,5,1,3,0,0,0,3
51,No,No,No,Employed full-time,Odd,Ns,4,6,4,3,113000,1,5,3,2,1,1,0,4
52,No,No,No,Employed full-time,Bd,In,4,3,1,-2,127000,2,2,7,2,0,2,0,2
53,Yes,No,No,Employed full-time,Bd,Cd,2,2,1,3,47000,2,5,2,3,2,2,3,2
54,Yes,No,No,Employed full-time,Nd,Ar,5,7,7,-2,110000,2,5,2,3,2,0,2,4
55,Yes,Yes,"Yes, full-time",Employed part-time,Ad,Cd,8,4,1,2,10000,1,2,0,2,1,1,2,2
56,No,No,No,Employed full-time,Bd,In,3,9,9,-2,64000,2,5,4,3,1,1,1,4
57,No,No,No,Employed full-time,Bd,Cd,4,4,2,1,90000,2,3,4,4,1,0,1,3
58,Yes,Yes,No,Employed full-time,Bd,Cd,3,5,4,1,140000,3,5,0,3,0,1,0,3
59,Yes,No,No,Employed full-time,Md,Cd,2,6,6,-1,96000,1,3,2,2,0,0,0,4
60,Yes,Yes,No,Employed full-time,Bd,Cd,3,5,3,2,94600,3,5,3,3,0,1,0,3
61,Yes,No,No,Employed full-time,Bd,Cd,2,3,1,3,105000,1,5,5,3,1,3,1,2
62,Yes,Yes,No,Employed full-time,Odd,Ae,2,3,2,-1,80000,2,5,3,3,1,0,2,3
63,Yes,No,No,Employed full-time,Bd,Cd,8,5,3,2,106000,2,5,4,3,0,0,0,3
64,Yes,No,No,Employed full-time,Bd,Ss,2,2,2,1,2.00E+06,3,1,4,4,0,3,2,3
65,No,Yes,No,Employed full-time,Bd,Cd,6,10,9,2,90000,2,5,2,3,2,0,0,5
